,Row.names,Protein.Ids,Protein.Names,Genes,Protein.Description,logFC,AveExpr,t,P.Value,adj.P.Val,B,Type,Label
4,A0AUZ9,A0AUZ9,KAL1L_HUMAN,KANSL1L,KAT8 regulatory NSL complex subunit 1-like protein,0.092356239,17.20636358,0.762963114,0.464128632,0.939152013,-5.938563767,No Change,
5,A0AVT1,A0AVT1,UBA6_HUMAN,UBA6,Ubiquitin-like modifier-activating enzyme 6,-0.011042004,24.2624708,-0.340814968,0.740707527,0.991575893,-6.177474881,No Change,
6,A0JNW5,A0JNW5,BLT3B_HUMAN,BLTP3B,Bridge-like lipid transfer protein family member 3B,0.032057056,19.54958637,0.458829313,0.656741163,0.9815425,-6.128125407,No Change,
7,A0MZ66,A0MZ66,SHOT1_HUMAN,SHTN1,Shootin-1,-0.052965092,21.8117048,-1.253742979,0.24010131,0.828510248,-5.467296921,No Change,
9,A2RUC4,A2RUC4,TYW5_HUMAN,TYW5,tRNA wybutosine-synthesizing protein 5,0.146547078,19.48914446,2.189807163,0.054913585,0.660320696,-4.192858736,No Change,
10,A2VDF0,A2VDF0,FUCM_HUMAN,FUOM,Fucose mutarotase,-0.00105432,21.17258461,-0.018317778,0.985766786,0.999039915,-6.238737333,No Change,
11,A3KMH1,A3KMH1,VWA8_HUMAN,VWA8,von Willebrand factor A domain-containing protein 8,0.100737841,20.16690059,1.085418917,0.304682277,0.859974907,-5.649272018,No Change,
12,A3KN83,A3KN83,SBNO1_HUMAN,SBNO1,Protein strawberry notch homolog 1,0.013853716,21.82864008,0.171850345,0.867183917,0.997839254,-6.223220389,No Change,
13,A4D126,A4D126,ISPD_HUMAN,CRPPA,D-ribitol-5-phosphate cytidylyltransferase,0.064017338,20.82194241,1.678025784,0.126085415,0.713522757,-4.934115279,No Change,
14,A4D2B0,A4D2B0,MBLC1_HUMAN,MBLAC1,Metallo-beta-lactamase domain-containing protein 1,0.180781207,19.38496751,2.070515733,0.06687726,0.680585661,-4.372308394,No Change,
15,A5D8V6,A5D8V6,VP37C_HUMAN,VPS37C,Vacuolar protein sorting-associated protein 37C,-0.064229257,20.54935327,-1.276123445,0.232421067,0.8274154,-5.441688257,No Change,
16,A5PLN9,A5PLN9,TPC13_HUMAN,TRAPPC13,Trafficking protein particle complex subunit 13,0.046247298,20.57869593,0.747915763,0.47273551,0.941808153,-5.949950253,No Change,
17,A5YKK6,A5YKK6,CNOT1_HUMAN,CNOT1,CCR4-NOT transcription complex subunit 1,0.009535426,21.36128611,0.161896178,0.874800889,0.997839254,-6.224983473,No Change,
20,A6NDB9,A6NDB9,PALM3_HUMAN,PALM3,Paralemmin-3,0.179880626,18.63258638,2.580915205,0.028588826,0.604458593,-3.587645936,No Change,
21,A6NDG6,A6NDG6,PGP_HUMAN,PGP,Glycerol-3-phosphate phosphatase,0.042774459,25.71979826,1.32168101,0.217414637,0.816855133,-5.388598285,No Change,
22,A6NED2,A6NED2,RCCD1_HUMAN,RCCD1,RCC1 domain-containing protein 1,-0.024554431,22.27554496,-0.53672176,0.603880384,0.965506429,-6.087947247,No Change,
23,A6NGB9,A6NGB9,WIPF3_HUMAN,WIPF3,WAS/WASL-interacting protein family member 3,-0.096359602,20.94459565,-2.197919446,0.054179782,0.660320696,-4.18054477,No Change,
24,A6NHL2,A6NHL2,TBAL3_HUMAN,TUBAL3,Tubulin alpha chain-like 3,0.025080779,20.93936527,0.14593156,0.887045038,0.997839254,-6.227592711,No Change,
25,A6NHR9,A6NHR9,SMHD1_HUMAN,SMCHD1,Structural maintenance of chromosomes flexible hinge domain-containing protein 1,0.044791513,19.05133538,0.870471347,0.405639227,0.916822821,-5.851507014,No Change,
26,A6NHX0,A6NHX0,CAST2_HUMAN,CASTOR2,Cytosolic arginine sensor for mTORC1 subunit 2,-0.06896746,20.07272231,-0.937362542,0.371938777,0.906785063,-5.792459452,No Change,
