Type,Group,Drug,DrugName,Protein_ID,Gene,fc,log_pvalue,log_adj.pvalue,rank,total_rank,drug_cv,con_cv,lasso_score,norm_fc_drug,norm_fc_prot,coverage,psm,upep,avg_abund,utoP,ratio_to_total_psm,ratio_to_total_upep,Class,H-Score
480,Group 1,Gossypol,Gossypol,O43708,GSTZ1,0.627542357,9.853860484,6.864188236,3.731749884,0.998570187,0.035107094,0.032048486,0.567842044,6.355953197,7.785713078,0.2,6,3,2.949804584,0.5,0.525291829,0.523255814,Background,0.823529412
lumos,Group 1,Gossypol,Gossypol,P49585,PCYT1A,0.498930182,10.51141076,7.25409225,3.430719888,0.998970398,0.024194291,0.024124391,0.475189013,4.596688691,11.87267254,0.4,18,12,3.314299192,0.666666667,1.053315995,1.163793103,Background,0.955882353
480,Group 1,Gossypol,Gossypol,P50225,SULT1A1,0.503415067,6.438529194,4.433983289,4.709473489,0.991373236,0.028291464,0.068554165,0.473816633,4.918990368,9.177538647,0.33,21,5,3.980778044,0.238095238,1.036184211,1.076555024,Background,0.808823529
480,Group 1,Gossypol,Gossypol,Q06520,SULT2A1,0.513431878,7.578577615,4.986845376,4.129689892,0.995238519,0.022660727,0.043148561,0.490318529,5.034950244,9.752163452,0.25,8,6,3.706179914,0.75,1.523809524,1.580838323,Background,0.830882353
lumos,Group 1,Gossypol,Gossypol,Q12874,SF3A3,0.828328492,8.705755459,5.846376955,3.828659897,0.99745507,0.052867805,0.059297136,0.721896831,8.207346689,16.88521031,0.19,16,8,3.412645314,0.5,0.722166499,0.730223124,Background,0.904411765
480,Group 1,Gossypol,Gossypol,Q15738,NSDHL,1.843911224,14.75752414,11.1657919,3.129689892,0.999893961,0.022196655,0.066677484,1.703996738,20.43727932,24.57237949,0.16,6,4,3.265489987,0.666666667,0.581497797,0.598639456,Background,0.897058824
lumos,Group 1,Gossypol,Gossypol,Q8WX92,NELFB,0.613435034,6.483902753,4.204307845,4.408443493,0.991612678,0.028408622,0.080433162,0.486054978,5.851819168,8.441323219,0.21,19,11,3.161038412,0.578947368,1.41322314,1.181384248,Background,0.838235294
480,Group 1,Gossypol,Gossypol,Q9H0B6,KLC2,0.450900584,6.504661783,4.438051692,4.634839871,0.991708455,0.019632176,0.047176146,0.221472531,4.311055074,5.912207018,0.21,24,4,3.166992231,0.166666667,0.868865648,0.616438356,Background,0.801470588
480,Group 1,Gossypol,Gossypol,Q9H3U1,UNC45A,0.546539285,8.070870756,5.324236557,3.974787932,0.996288644,0.048795157,0.03836961,0.475007786,5.418219009,14.82567142,0.26,32,21,3.924491211,0.65625,0.647773279,0.741176471,Background,0.823529412
lumos,Group 1,Gossypol,Gossypol,Q9H7Z7,PTGES2,0.454240709,6.566990737,4.263914734,4.384962397,0.991971842,0.024483118,0.054296726,0.394479935,4.106830679,8.152981341,0.25,16,8,3.174176147,0.5,0.942408377,0.913705584,Background,0.816176471
