Type,Group,Drug,Protein_ID,Gene,fc,log_pvalue,log_adj.pvalue,rank,total_rank,drug_cv,con_cv,lasso_score,norm_fc_drug,norm_fc_prot,coverage,psm,upep,avg_abund,utoP,ratio_to_total_psm,ratio_to_total_upep,Class,H-Score,DrugName
480,Group 20,Belumosudil,P55263,ADK,0.150640858,5.203021682,2.263502429,2.835690571,0.982982493,0.014553027,0.022958441,0.116414809,2.068126828,2.64768329,0.65,75,21,4.452257305,0.28,1.422849916,1.041896362,Background,0.919117647,Belumosudil
480,Group 5,Bosutinib,P55263,ADK,0.474873712,7.676033872,4.477926874,2.84260924,0.995460858,0.045686196,0.031632566,0.368895291,6.219749505,9.984320163,0.65,62,24,4.121572975,0.387096774,1.176222597,1.190738699,Background,1,Bosutinib
lumos,Group 46,Catechin,P55263,ADK,0.240804111,8.233170706,5.361987098,3.381295623,0.996637546,0.015662353,0.016845913,0,3.324573027,4.169571637,0.67,43,19,3.785934578,0.441860465,0.75,0.966101695,Background,0.911764706,Catechin
480,Group 27,Crizotinib,P55263,ADK,0.186594937,3.839707109,0.782976078,2.727541257,0.95143768,0.043372335,0.029260981,0.06937729,2.681662352,3.46124064,0.46,38,17,4.075837002,0.447368421,0.720910624,0.843439912,Background,0.801470588,Crizotinib
lumos,Group 4,Dasatinib (hydrochloride),P55263,ADK,0.39680252,7.386637819,3.940809305,2.328379603,0.994752793,0.013078798,0.034777845,0.198189625,7.471676657,7.385329735,0.73,57,22,3.934114486,0.385964912,0.994186047,1.118644068,Background,0.992647059,Dasatinib
480,Group 15,Diosmin,P55263,ADK,0.151546126,5.902269506,2.2190423,2.413299764,0.988448619,0.004293553,0.021234056,0.137016433,1.957818043,2.668167399,0.65,58,25,4.043755127,0.431034483,1.100337268,1.240352811,Background,0.926470588,Diosmin
480,Group 12,Domperidone,P55263,ADK,0.280908586,7.389906139,3.696706993,2.348304863,0.994763055,0.027590888,0.021113427,0.233122379,4.457410727,5.595339579,0.67,61,23,4.098242121,0.37704918,1.157251265,1.141124587,Background,0.992647059,Domperidone
480,Group 4,Erlotinib (Hydrochloride),P55263,ADK,0.393164789,5.642255162,1.972473547,2.260071388,0.986683587,0.054671679,0.035444042,0.196081267,6.059177692,8.135436903,0.65,51,25,4.046598555,0.490196078,0.967537943,1.240352811,Background,0.985294118,Erlotinib
lumos,Group 27,Pimobendan,P55263,ADK,0.261595365,5.781012199,2.686075463,2.737192643,0.987634515,0.033960518,0.022666271,0.185205905,3.827280616,4.598163453,0.61,62,19,3.687894435,0.306451613,1.081395349,0.966101695,Background,0.941176471,Pimobendan
480,Group 22,Puromycin (dihydrochloride),P55263,ADK,0.153529845,6.487164289,3.26976809,2.860936621,0.991633202,0.014559008,0.009869206,0.120985841,1.963365779,2.713054357,0.59,61,23,4.303185254,0.37704918,1.157251265,1.141124587,Background,0.875,Puromycin
480,Group 18,Selpercatinib,P55263,ADK,0.245834594,8.806156524,5.144722473,2.378397901,0.997595315,0.0113955,0.011208525,0.145320143,3.412605206,4.801696571,0.39,36,14,4.115099374,0.388888889,0.68296796,0.694597574,Background,0.838235294,Selpercatinib
lumos,Group 7,Upadacitinib,P55263,ADK,0.175395501,5.446213506,1.822673261,2.290034611,0.985161418,0.008598999,0.024708579,0.135442041,2.505877001,2.821235647,0.54,41,17,3.710743381,0.414634146,0.715116279,0.86440678,Background,0.911764706,Upadacitinib
480,Group 30,Vandetanib,P55263,ADK,0.152283788,4.30589232,0.8962973,2.531478917,0.967767645,0.039870487,0.012307549,0.113680873,2.633077534,2.68485897,0.51,46,17,3.859678577,0.369565217,0.872681282,0.843439912,Background,0.801470588,Vandetanib
480,Group 18,Eprosartan (mesylate),P42330,AKR1C3,1.362379567,13.88318535,10.2217513,2.872738827,0.999839232,0.024449478,0.04795295,1.311612516,17.79659579,14.4964416,0.49,31,5,3.652806983,0.161290323,0.839855509,0.833333333,Background,0.992647059,Eprosartan
480,Group 40,Flufenamic acid,P42330,AKR1C3,0.530589921,3.967825486,1.683507293,3.932879458,0.957026948,0.142762266,0.030750518,0.147822235,9.571839126,5.339418808,0.5,28,5,3.334745194,0.178571429,0.758579169,0.833333333,Target,0.875,Flufenamic acid
480,Group 2,Hydrocortisone buteprate,P42330,AKR1C3,1.158120348,12.84574272,9.146338634,2.136720567,0.999671622,0.036693789,0.034216652,1.064002731,26.77565716,12.24778854,0.57,34,7,3.764075209,0.205882353,0.921131848,1.166666667,Background,0.992647059,Hydrocortisone buteprate
lumos,Group 40,Indobufen,P42330,AKR1C3,0.570224477,7.564569346,3.986159376,2.049218023,0.995207733,0.025106386,0.050069351,0.416943269,13.6224368,7.439316925,0.5,31,5,2.730216841,0.161290323,0.61719457,0.897959184,Background,0.926470588,Indobufen
480,Group 4,Indomethacin (sodium hydrate),P42330,AKR1C3,0.209983714,3.590027312,0.945001396,3.346352974,0.937888666,0.007991634,0.053852334,0.17751979,3.205164823,1.809922672,0.62,37,8,3.737089227,0.216216216,1.002408188,1.333333333,Target,0.830882353,Indomethacin
